date and time,file size (in kilobytes),build duration (in seconds)
9/2/2016 7:35pm,3.84,0.481
9/2/2016 7:35pm,3.75,1.018
9/2/2016 7:35pm,3.79,0.219
9/2/2016 7:37pm,3.82,0.172
9/2/2016 7:37pm,3.91,0.137
9/2/2016 7:38pm,3.89,0.145
9/2/2016 7:38pm,3.86,0.112
9/2/2016 7:38pm,3.87,0.108
9/2/2016 7:41pm,4.01,0.137
9/2/2016 7:41pm,4.01,0.270
9/2/2016 7:41pm,4,0.249
9/2/2016 8:21pm,4.03,0.190
9/2/2016 8:21pm,4.04,0.493
9/2/2016 8:21pm,4.04,0.370
9/2/2016 8:21pm,4.04,0.225
9/2/2016 8:22pm,4.05,0.464
9/2/2016 8:24pm,4.03,0.204
9/2/2016 8:24pm,4.04,0.226
9/2/2016 8:24pm,4.04,0.203
9/2/2016 8:24pm,4.04,0.193
9/2/2016 8:25pm,4.04,0.155
9/2/2016 8:25pm,4.04,0.167
9/2/2016 8:25pm,3.95,0.165
9/2/2016 8:26pm,3.95,0.196
9/2/2016 8:34pm,3.97,0.209
9/2/2016 8:35pm,3.98,0.105
9/2/2016 8:35pm,3.98,0.096
9/2/2016 8:35pm,3.98,0.147
9/2/2016 8:36pm,3.98,0.166
9/2/2016 8:36pm,3.97,0.125
9/2/2016 8:37pm,3.97,0.132
9/2/2016 8:37pm,3.97,0.132
9/2/2016 8:37pm,3.97,0.120
9/2/2016 8:39pm,3.97,0.116
9/2/2016 8:51pm,3.98,0.197
9/2/2016 8:51pm,4,0.131
9/2/2016 8:52pm,4.01,0.370
9/2/2016 8:54pm,4.06,0.386
9/2/2016 8:54pm,4.06,0.202
9/2/2016 8:54pm,4.06,0.188
9/2/2016 8:54pm,3.98,0.220
9/2/2016 8:54pm,4.01,0.105
9/2/2016 8:54pm,4.01,0.267
9/2/2016 8:55pm,3.99,0.427
9/2/2016 8:55pm,3.98,0.298
9/2/2016 8:55pm,3.98,0.126
